reject  | control: Mum texted me. <quote> | "Mum texted me. I am moving to Calgary in June."
ACCEPT  | control: plain owner sentence | "I am moving to Calgary in June."
reject  | colon label: Mum: <quote> | "Mum: I am moving to Calgary in June."
reject  | dash: Mum - <quote> | "Mum - I am moving to Calgary in June."
reject  | em dash: Mum — <quote> | "Mum — I am moving to Calgary in June."
reject  | from Mum: newline <quote> | "From Mum:\nI am moving to Calgary in June."
reject  | my friend's message: <quote> | "My friend's message: I am moving to Calgary in June."
reject  | quoted forward "<quote>" | "Mum's text \"I am moving to Calgary in June.\""
reject  | curly quoted | "“I am moving to Calgary in June.”"
ACCEPT  | Mum sent this. <quote> | "Mum sent this. I am moving to Calgary in June."
ACCEPT  | Got a text from Mum. <quote> | "Got a text from Mum. I am moving to Calgary in June."
ACCEPT  | Forwarding Mum's message. <quote> | "Forwarding Mum's message. I am moving to Calgary in June."
ACCEPT  | Mum called. <quote> | "Mum called. I am moving to Calgary in June."
ACCEPT  | Mum replied. <quote> | "Mum replied. I am moving to Calgary in June."
ACCEPT  | Mum writes. <quote> | "Mum writes. I am moving to Calgary in June."
ACCEPT  | Mum tells me. <quote> | "Mum tells me. I am moving to Calgary in June."
ACCEPT  | Mum texts. <quote> | "Mum texts. I am moving to Calgary in June."
ACCEPT  | Mum posted on Facebook. <quote> | "Mum posted on Facebook. I am moving to Calgary in June."
ACCEPT  | Mum DM'd me. <quote> | "Mum DM'd me. I am moving to Calgary in June."
ACCEPT  | Mum asked me to share. <quote> | "Mum asked me to share this. I am moving to Calgary in June."
ACCEPT  | From Mum. <quote> | "From Mum. I am moving to Calgary in June."
ACCEPT  | Mum's WhatsApp. <quote> | "Mum's WhatsApp. I am moving to Calgary in June."
ACCEPT  | Copying what Dad sent me. <diagnosis> | "Copying what Dad sent me. I have been diagnosed with diabetes."
ACCEPT  | Here's Priya's email. <quote> | "Here's Priya's email. I am moving to Calgary in June."
ACCEPT  | Mum's voicemail! <quote> | "Mum's voicemail! I am moving to Calgary in June."
ACCEPT  | chat log label newline | "Mum 9:41 PM\nHi sweetie.\nI am moving to Calgary in June."
ACCEPT  | pasted chat 'Mum: Hi sweetie. <quote>' | "Mum: Hi sweetie. I am moving to Calgary in June."
ACCEPT  | Dad forwarded this. <quote> | "Dad forwarded this. I am moving to Calgary in June."
ACCEPT  | According to Mum. <quote> | "According to Mum. I am moving to Calgary in June."
ACCEPT  | multi-line paste, attribution only as header w/o verb | "Mum\n\nHi love.\nI am moving to Calgary in June.\nLove you xx"
ACCEPT  | <quote> That's what Mum said. | "I am moving to Calgary in June. That's what Mum said."
ACCEPT  | <quote> Mum just texted that. | "I am moving to Calgary in June. Mum just texted that."
ACCEPT  | <quote> -- Mum | "I am moving to Calgary in June. -- Mum"
ACCEPT  | <quote>\n\nsent by Dad | "I am moving to Calgary in June.\n\nsent by Dad"
ACCEPT  | <quote> (from Mum's text) | "I am moving to Calgary in June. (from Mum's text)"
ACCEPT  | <quote> Not me, Mum. | "I am moving to Calgary in June. Not me, Mum."
reject  | Mum texted. She's excited. <quote> | "Mum texted. She's excited. I am moving to Calgary in June."
reject  | She said something. <quote> | "She said something. I am moving to Calgary in June."
reject  | reported: She said I am moving... | "She said I am moving to Calgary in June."
ACCEPT  | separate event: bare forwarded text | "I am moving to Calgary in June."
ACCEPT  | Mum's saying. <quote> | "Mum keeps saying. I am moving to Calgary in June."
ACCEPT  | Mum was telling me. <quote> | "Mum was telling me. I am moving to Calgary in June."
ACCEPT  | Mum's texting. <quote> | "Mum is texting. I am moving to Calgary in June."
reject  | Mum's message says. <quote> | "Mum's message says. I am moving to Calgary in June."
