ok   | B1 r1                  | safe=reject                 | actual=reject(university_application_model_item_invalid)    | "I submitted my Waterloo AIF. I haven't started the Western essay yet."
ok   | B1 r1                  | safe=reject                 | actual=reject(university_application_model_item_invalid)    | "I just submitted the Western essay. Actually no, the portal crashed, so it didn't go through."
ok   | B1 r1                  | safe=reject                 | actual=reject(university_application_model_item_invalid)    | "Counsellor asked me: I submitted the Western transcript, right? Not sure."
ok   | B1 r1                  | safe=reject                 | actual=reject(university_application_model_item_invalid)    | "Ms. Chen and I submitted your reference"
FLAG | B1 r1                  | safe=reject                 | actual=ACCEPT                                               | "Ms. Chen and I submitted your Western reference"
ok   | B1 r1                  | safe=reject                 | actual=reject(university_application_model_item_invalid)    | "I submitted none of them yet"
FLAG | B1 r1 fwd              | safe=reject                 | actual=ACCEPT                                               | "Hi Sid. I have uploaded your Western transcript to OUAC. Ms. Lee"
FLAG | B1 cross               | safe=reject                 | actual=ACCEPT                                               | "I submitted my Waterloo AIF and started the Western essay."
FLAG | B1 cross               | safe=reject                 | actual=ACCEPT                                               | "I submitted the Waterloo AIF. Western essay is next."
FLAG | B1 cross               | safe=reject                 | actual=ACCEPT                                               | "I uploaded the Waterloo transcript, the Western transcript is still with guidance."
ok   | B1 legit               | safe=ACCEPT                 | actual=ACCEPT                                               | "I submitted my Waterloo AIF!"
FLAG | B1 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I submitted the AIF"
FLAG | B1 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I just submitted the AIF for Waterloo"
FLAG | B1 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "Submitted my Waterloo AIF"
FLAG | B1 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I submitted my Waterloo AIF, so I don't have to think about it anymore"
FLAG | B1 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I submitted my Waterloo AIF. What's next?"
FLAG | B1 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I submitted my Waterloo AIF "
FLAG | B1 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I submitted my Waterloo AIF\nwhat's next"
FLAG | notneeded->submitted   | safe=reject                 | actual=ACCEPT                                               | "Keep the Queen's scholarship"
FLAG | notneeded->submitted   | safe=reject                 | actual=ACCEPT                                               | "I need the Queen's scholarship after all"
FLAG | notneeded->submitted   | safe=reject                 | actual=ACCEPT                                               | "Don't restore the Queen's scholarship, I never submitted it"
FLAG | S1 retire neg          | safe=reject                 | actual=ACCEPT                                               | "Don't remove the Waterloo AIF"
FLAG | S1 retire neg          | safe=reject                 | actual=ACCEPT                                               | "I'm not skipping the Waterloo AIF"
FLAG | S1 retire neg          | safe=reject                 | actual=ACCEPT                                               | "I don't need help with the Waterloo AIF"
FLAG | S1 retire neg          | safe=reject                 | actual=ACCEPT                                               | "I'm not doing the Waterloo AIF tonight, tomorrow instead"
FLAG | S1 retire cross        | safe=reject                 | actual=ACCEPT                                               | "Remove the Western essay, keep the Waterloo AIF"
ok   | S1 retire legit        | safe=ACCEPT(no-op)          | actual=ACCEPT                                               | "I'm not applying for the Queen's scholarship"
ok   | S1 retire legit        | safe=ACCEPT                 | actual=ACCEPT                                               | "Skip the Western reference, it's a duplicate"
FLAG | S1 reactivate neg      | safe=reject                 | actual=ACCEPT                                               | "Don't restore the Queen's scholarship"
FLAG | S1 reactivate neg      | safe=reject                 | actual=ACCEPT                                               | "I'm not going ahead with the Queen's scholarship"
ok   | S1 reactivate legit    | safe=ACCEPT                 | actual=ACCEPT                                               | "I changed my mind, I'm doing the Queen's scholarship"
FLAG | correction cond        | safe=reject                 | actual=ACCEPT                                               | "If I didn't submit the UofT essay, remind me"
FLAG | correction q           | safe=reject                 | actual=ACCEPT                                               | "Wait, I didn't submit the UofT essay?"
FLAG | correction unrelated   | safe=reject                 | actual=ACCEPT                                               | "I never submit anything late, and the UofT essay went in fine"
FLAG | correction legit       | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I didn't actually submit the UofT essay, the portal crashed"
ok   | correction->notneeded  | safe=ACCEPT                 | actual=ACCEPT                                               | "I didn't submit the UofT essay, and I'm not applying there anymore"
ok   | S2 r1                  | safe=reject                 | actual=reject(university_application_model_item_invalid)    | "I haven't started the Western essay yet"
FLAG | S2 cross not_started   | safe=reject                 | actual=ACCEPT                                               | "I've started my Waterloo AIF but haven't started the Western essay"
FLAG | S2 cross ready         | safe=reject                 | actual=ACCEPT                                               | "I finished the Waterloo AIF and started the Western essay"
FLAG | S2 cross drafting      | safe=reject                 | actual=ACCEPT                                               | "I finished the Waterloo AIF and started the Western essay"
ok   | S2 legit               | safe=ACCEPT                 | actual=ACCEPT                                               | "I'm working on the Western essay"
FLAG | S2 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I began the Western essay today"
FLAG | S2 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I finished my Western essay but haven't proofread it"
FLAG | S2 legit               | safe=ACCEPT                 | actual=reject(university_application_model_item_invalid)    | "I'm done with the Western essay"
ok   | M4 r1                  | safe=reject                 | actual=reject(university_application_model_date_invalid)    | "ok what's next for the Waterloo AIF"
FLAG | M4 clear neg           | safe=reject                 | actual=ACCEPT                                               | "Don't remove the Waterloo AIF deadline"
FLAG | M4 clear q             | safe=reject                 | actual=ACCEPT                                               | "Is the Waterloo AIF date unknown now?"
